Dia_Refeicao,Data,Refeição,Campus,Nota1,Nota2,Nota3,Nota4,Nota5,Cardápio,Avaliações
Seg_Jan_SM_S22,2024-05-27,Jan,SM,2,2,2,21,9,BIFE SUÍNO AO MOLHO AGRIDOCE,36
Ter_Alm_SM_S22,2024-05-28,Alm,SM,4,0,5,22,31,LASANHA A BOLONHESA,62
Ter_Jan_SM_S22,2024-05-28,Jan,SM,4,1,5,8,28,ISCA DE PEIXE À MILANESA,46
Qua_Alm_SM_S22,2024-05-29,Alm,SM,7,9,30,30,13,FRANGO AO MOLHO DE AÇAFRÃO,89
Qua_Jan_SM_S22,2024-05-29,Jan,SM,1,1,0,14,14,ISCA DE CARNE AO MOLHO BECHAMEL,30
Seg_Alm_SM_S23,2024-06-03,Alm,SM,1,0,10,28,28,CUBOS BOVINOS AO MOLHO MADEIRA,67
Seg_Jan_SM_S23,2024-06-03,Jan,SM,2,6,13,14,23,FRANGO AO MOLHO BECHAMEL,58
Ter_Alm_SM_S23,2024-06-04,Alm,SM,1,0,18,14,31,ESTROGONOFE DE FRANGO,64
Ter_Jan_SM_S23,2024-06-04,Jan,SM,33,5,4,7,9,PEIXE A CUBANA,58
Qua_Alm_SM_S23,2024-06-05,Alm,SM,6,13,29,19,20,BIFE DE CARNE ACEBOLADO,87
Qua_Jan_SM_S23,2024-06-05,Jan,SM,1,1,7,22,33,ISCA DE FRANGO À PARMEGIANA,64
Qui_Alm_SM_S23,2024-06-06,Alm,SM,2,0,17,23,47,MARAVILHA DE FRANGO,89
Qui_Jan_SM_S23,2024-06-06,Jan,SM,6,6,13,21,13,ALMÔNDEGA FRITA,59
Sex_Alm_SM_S23,2024-06-07,Alm,SM,2,3,10,21,11,BIFE DE LOMBO SUÍNO AO MOLHO AGRIDOCE,47
Sex_Jan_SM_S23,2024-06-07,Jan,SM,1,0,9,3,20,CARNE DE PANELA AO MOLHO MADEIRA,33
Sab_Alm_SM_S23,2024-06-08,Alm,SM,0,0,2,12,22,MISTO COZIDO,36
Seg_Alm_SM_S24,2024-06-10,Alm,SM,1,2,23,28,24,FRANGO COM CREME DE BATATA,78
Seg_Jan_SM_S24,2024-06-10,Jan,SM,2,0,1,10,15,"QUIBE DE CARNE RECHEADO COM PRESUNTO, MUÇARELA E CENOURA RALADA",28
Ter_Alm_SM_S24,2024-06-11,Alm,SM,1,0,4,7,41,FEIJOADA,53
Ter_Jan_SM_S24,2024-06-11,Jan,SM,11,23,10,10,13,CARNE DE PANELA,67
Qua_Alm_SM_S24,2024-06-12,Alm,SM,2,1,25,38,18,FRANGO ACEBOLADO,84
Qua_Jan_SM_S24,2024-06-12,Jan,SM,2,1,1,5,16,FRICASSÊ DE FRANGO,25
Qui_Alm_SM_S24,2024-06-13,Alm,SM,1,5,4,4,10,ROCAMBOLE DE CARNE RECHEADO COM BACON E CENOURA,24
Qui_Jan_SM_S24,2024-06-13,Jan,SM,0,0,1,3,37,LOMBO SUÍNO ACEBOLADO,41
Sex_Alm_SM_S24,2024-06-14,Alm,SM,0,0,9,12,23,ISCA DE FRANGO À MILANESA,44
Sex_Jan_SM_S24,2024-06-14,Jan,SM,0,0,5,6,32,BIFE BOVINO AO MOLHO BECHAMEL,43
Sab_Alm_SM_S24,2024-06-15,Alm,SM,1,6,4,17,10,ISCA DE PEIXE À MILANESA,38
Seg_Alm_SM_S25,2024-06-17,Alm,SM,1,1,2,12,19,ESTROGONOFE DE CARNE,35
Seg_Jan_SM_S25,2024-06-17,Jan,SM,0,0,2,18,34,BIFE DE FRANGO ACEBOLADO,54
Ter_Alm_SM_S25,2024-06-18,Alm,SM,0,0,4,16,32,COXA E SOBRECOXA DE FRANGO AO MOLHO DE AÇAFRÃO,52
Ter_Jan_SM_S25,2024-06-18,Jan,SM,0,1,1,12,29,ISCA DE CARNE AO MOLHO BECHAMEL,43
Qua_Alm_SM_S25,2024-06-19,Alm,SM,1,0,2,9,19,SUÍNO AO MOLHO AGRIDOCE,31
Qua_Jan_SM_S25,2024-06-19,Jan,SM,3,0,5,6,33,CUBOS BOVINOS AO MOLHO MADEIRA,47
Qui_Alm_SM_S25,2024-06-20,Alm,SM,1,5,11,9,11,FRANGO XADREZ,37
Qui_Jan_SM_S25,2024-06-20,Jan,SM,0,2,3,12,16,PEIXE ASSADO AO MOLHO ESCABECHE,33
Sex_Alm_SM_S25,2024-06-21,Alm,SM,0,2,4,12,16,ISCA DE FRANGO À MILANESA,34
Sex_Jan_SM_S25,2024-06-21,Jan,SM,1,0,1,4,21,BIFE BOVINO ACEBOLADO,27
Sab_Alm_SM_S25,2024-06-22,Alm,SM,1,0,0,6,13,GALINHADA,20
Seg_Alm_SM_S26,2024-06-24,Alm,SM,0,3,5,22,14,CARNE ENSOPADA COM BATATA,44
Seg_Jan_SM_S26,2024-06-24,Jan,SM,0,0,0,0,0,ALMÔNDEGA DE CARNE AO SUGO,0
Ter_Alm_SM_S26,2024-06-25,Alm,SM,0,2,4,20,9,ISCA DE FRANGO À PARMEGIANA,35
Ter_Jan_SM_S26,2024-06-25,Jan,SM,0,0,0,0,0,LASANHA À BOLONHESA,0
Qua_Alm_SM_S26,2024-06-26,Alm,SM,0,0,2,12,29,CUBOS BOVINOS AO MOLHO MADEIRA,43
Qua_Jan_SM_S26,2024-06-26,Jan,SM,0,0,12,10,17,ARROZ CARRETEIRO,39
Qui_Alm_SM_S26,2024-06-27,Alm,SM,0,0,7,8,7,ESTROGONOFE DE FRANGO,22
Qui_Jan_SM_S26,2024-06-27,Jan,SM,1,0,6,7,14,BIFE DE PANELA,28
Sex_Alm_SM_S26,2024-06-28,Alm,SM,0,0,0,9,22,ESCONDIDINHO DE CARNE MOÍDA,31
Sex_Jan_SM_S26,2024-06-28,Jan,SM,2,4,3,6,9,PEIXE À CUBANA,24
Sab_Alm_SM_S26,2024-06-29,Alm,SM,1,5,3,6,1,BIFE DE LAGARTO AO MOLHO DE MOSTARDA,16
Seg_Alm_SM_S27,2024-07-01,Alm,SM,2,0,6,13,14,FRICASSÊ DE FRANGO,35
Seg_Jan_SM_S27,2024-07-01,Jan,SM,0,0,0,0,0,CARNE DE PANELA,0
Ter_Alm_SM_S27,2024-07-02,Alm,SM,2,1,8,10,7,CARNE MOÍDA À PARMEGIANA,28
Ter_Jan_SM_S27,2024-07-02,Jan,SM,3,1,2,9,16,FRANGO ASSADO,31
Qua_Alm_SM_S27,2024-07-03,Alm,SM,2,2,1,7,12,FEIJOADA,24
Qua_Jan_SM_S27,2024-07-03,Jan,SM,0,1,9,16,7,BIFE BOVINO AO MOLHO BARBECUE,33
Qui_Alm_SM_S27,2024-07-04,Alm,SM,1,2,8,7,5,LAGARTO AO MOLHO MADEIRA,23
Qui_Jan_SM_S27,2024-07-04,Jan,SM,1,1,3,7,26,PEIXE À MILANESA,38
Sex_Alm_SM_S27,2024-07-05,Alm,SM,0,0,8,4,14,GALINHADA,26
Sex_Jan_SM_S27,2024-07-05,Jan,SM,0,1,6,9,11,LASANHA DE CARNE À BOLONHESA,27
Sab_Alm_SM_S27,2024-07-06,Alm,SM,0,1,1,8,10,ESTROGONOFE DE FRANGO,20
Seg_Alm_SM_S28,2024-07-08,Alm,SM,4,1,11,11,5,FRANGO EM CUBOS ACEBOLADO,32
Seg_Jan_SM_S28,2024-07-08,Jan,SM,0,0,0,0,0,CUBOS DE CARNE AO MOLHO FERRUGEM,0
Ter_Alm_SM_S28,2024-07-09,Alm,SM,3,1,5,19,6,SUÍNO AO MOLHO BARBECUE,34
Ter_Jan_SM_S28,2024-07-09,Jan,SM,0,3,3,5,14,SULPICÃO QUENTE,25
Qua_Alm_SM_S28,2024-07-10,Alm,SM,0,5,4,7,7,CARNE MOÍDA COM MILHO,23
Qua_Jan_SM_S28,2024-07-10,Jan,SM,0,4,3,8,2,PEIXE À ESCARECHE,17
Qui_Alm_SM_S28,2024-07-11,Alm,SM,3,0,2,7,19,ISCA DE FRANGO À MILANESA,31
Qui_Jan_SM_S28,2024-07-11,Jan,SM,0,0,1,9,9,ESCONDIDINHO DE CARNE COM MANDOCA,19
